"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Exploring the Role of Gut-Brain Axis Communication in Modulating Human Social Behavior, Emotional Responses, and Decision-Making Processes","https://scispace.com/paper/exploring-the-role-of-gut-brain-axis-communication-in-yjy5e5p898g3","2024","Repository","","","10.5281/zenodo.14274872","","The gut-brain axis plays a critical role in modulating human social behavior, emotional responses, and decision-making processes through complex bidirectional communication. This study investigates the mechanisms underlying gut-brain interactions, focusing on microbiota-derived metabolites, neural pathways, and hormonal signals. Results highlight significant correlations between gut microbiota composition and behavioral patterns, emphasizing the therapeutic potential of targeting the gut-brain axis. ",""
"Gut microbiota: Intestinal bacteria influence brain activity in healthy humans","https://scispace.com/paper/gut-microbiota-intestinal-bacteria-influence-brain-activity-cb9xemhaq5","2013","Journal Article","Nature Reviews Gastroenterology & Hepatology","Stephen M. Collins
Premsyl Bercik","10.1038/NRGASTRO.2013.76","","Emerging evidence indicates that the intestinal microbiota influence brain chemistry, development and behaviour in animals. Tillisch and colleagues now show that ingestion of selected probiotics changes brain connectivity and responses to emotional challenge in healthy humans, paving the way for therapeutic exploitation of the microbiome–brain axis for functional gastrointestinal and primary behavioural disorders.","It is shown that ingestion of selected probiotics changes brain connectivity and responses to emotional challenge in healthy humans, paving the way for therapeutic exploitation of the microbiome–brain axis for functional gastrointestinal and primary behavioural disorders."
"The Microbiota‐Gut‐Brain Connection: A New Horizon in Neurological and Neuropsychiatric Disorders","https://scispace.com/paper/the-microbiota-gut-brain-connection-a-new-horizon-in-7jp18r3kddsc","2025","Journal Article","CNS Neuroscience & Therapeutics","Md. Faysal
Mehrukh Zehravi
Baishakhi Sutradhar
Md. Al Amin
Thukani Sathanantham Shanmugarajan
Uppuluri Varuna Naga Venkata Arjun
Susithra Ethiraj
Akiladevi Durairaj
Girija Dayalan
Shaik Khadeer Ahamad
Safia Obaidur Rab
Kannan Raman
Talha Bin Emran","10.1111/cns.70593","","ABSTRACT Introduction The microbiota‐gut‐brain axis (MGBA), a complex two‐way connection between the gut microbiota and the brain, has become a key regulator of neurological and neuropsychiatric disorders. Neurological disorders and gut microbiota dysbiosis are linked to these diseases. Changes in gut microbiota can lead to neurotransmitter imbalances, oxidative stress, and neuroinflammation. Gut dysbiosis may contribute to the development of diseases such as depression, autism, schizophrenia, bipolar disorder, Parkinson's disease, Alzheimer's disease, dementia, multiple sclerosis, epilepsy, anxiety, and autism spectrum disorders through immunological regulation, neuroinflammation, and neurotransmitter metabolism changes. Method This review systematically sourced articles related to microbiota gut brain axis, neurological disorders, neuropsychiatric disorders and clinical studies from major medical databases, including Scopus, PubMed, and Web of Science. Results This review explores the molecular processes underlying MGBA interactions, including vagus nerve signaling, systemic immunological responses, and metabolites produced by microorganisms. The discussion explores the potential of microbiome‐targeted treatments like fecal microbiota transplantation, probiotics, and prebiotics as effective treatment methods. The comprehension of the MGBA can revolutionize neurology and psychiatry, introducing innovative diagnostic and therapeutic approaches. Multiple elements, including diet, metabolism, age, stress, and medications, shape the human gut microbiota, and intestinal imbalances can lead to CNS diseases. The MGBA interacts with gut bacteria, and gut dysbiosis is associated with neurological disorders. Conclusions The review demonstrates the correlation between gut microbiota and neurologically associated diseases, highlighting its importance in neurogenesis, mental development, emotions, and behaviors. MGBA, mediated by microbial metabolites, affects brain function and neuroinflammation. Interventions like fetal microbiota transplantation, probiotics, and prebiotics can improve microbial balance, but more clinical research is needed. ","This review explores the microbiota-gut-brain axis (MGBA) connection, highlighting its role in neurological and neuropsychiatric disorders, and discusses potential treatments like fecal microbiota transplantation, probiotics, and prebiotics to revolutionize neurology and psychiatry."
"Signalling through the microbiota-gut-brain triade","https://scispace.com/paper/signalling-through-the-microbiota-gut-brain-triade-2whteejd","2022","Journal Article","Farmacia","Anca Ioana Amzăr","10.31925/farmacia.2022.3.4","https://scispace.com/pdf/signalling-through-the-microbiota-gut-brain-triade-2whteejd.pdf","Gut microbiota is well known for its role in regulation of intestinal function. However, intriguing evidence indicates that gut microbes can also modulate the development and activity of the nervous system through a bidirectional communication pathway, so called the microbiota-gut-brain axis. One of the ways through commensal microbial strains in intestinal lumen could signal to the brain, is by producing similar neurotransmitters with those found in mammalian organisms, such as GABA, serotonin, catecholamines and histamine. Given the fact that mental disorders relate to the imbalance of neuroactive compounds, and several gut microorganisms could alter neurotransmitters levels, it was assumed that gut microbiota could influence mood, stress and behaviours and be also a determinant factor for the onset or evolution of neurological and psychiatric pathologies. This review aims to assess the relationship between the intestinal microbiome and the brain, by focusing on the main neurotransmitters secreted by the gut microbes. microbiotă-intestin-creier. Una din căile prin care tulpinile microbiene comensale din lumenul intestinal pot trimite semnale către creier este prin producerea de neurotransmițători similari cu cei întâlniți la mamifere: GABA, serotonină, catecolamine și histamină. Dat fiind faptul că bolile mintale sunt asociate cu dezechilibrul compușilor neuroactivi, și multe microorganisme intestinale pot altera nivelurile neurotransmițătorilor, s-a considerat că microbiota intestinală poate influența starea de spirit, stresul și diferitele comportamente și poate, de asemenea, reprezenta un factor determinant pentru debutul sau evoluția unor patologii neurologice sau psihiatrice. Acest review își propune să evalueze relația dintre microbiomul intestinal și creier, concentrându-se pe principalii neurotransmițători secretați de microorganismele intestinale.","This review aims to assess the relationship between the intestinal microbiome and the brain, by focusing on the main neurotransmitters secreted by the gut microbes, including GABA, serotonin, catecholamines and histamine."
"Role of Microbiome-gut-brain axis in Depression","https://scispace.com/paper/role-of-microbiome-gut-brain-axis-in-depression-1hiwm58rep","2017","Journal Article","","Anum Qader
Usama K Choudry","10.21767/2393-8854.100018","https://www.imedpub.com/articles/role-of-microbiomegutbrain-axis-in-depression.pdf","Citation: Qader A, Choudry UK. Role of Microbiome-gut-brain axis in Depression. Glob J Res Rev. 2017, 4:2. The Microbiota-gut-brain axis is an emerging belief pertaining to the way the microbial population in the gut corresponds with the human brain and alters neuropsychiatric functions and mood. This bilateral communication occurs through neural (vagus nerve), hormonal, immunological and neuroendocrine networks [1]. The 104 Microbiota harboring the human intestinal tract confer a symbiotic relationship, the most numerous of which are the Firmicutes and Bacteroides, with Proteobacteria, Actinobacteria, Fusobacteria, and Verrucomicrobia following soon after [2]. Depressive episodes associated with the link between microbiota and Hypothalamic-pituitaryadrenal (HPA) axis were demonstrated by comparing Germ-free mice having increased levels of corticosterone and adrenocorticotrophin (ACTH) levels, and House specific-Pathogen-free mice with reduced stress hormones due to probiotic effects [3,4]. The hygiene hypothesis states that the normal maturation of HPA needs exposure to commensal colonialism during early life to ensure normal development of the stress signaling pathway. Inhabited commensal microbiota produces mood-stabilizing neurotransmitters gamma-aminobutyric acid (GABA) from monosodium glutamate, norepinefrin, serotonin, and dopamine. On the contrary, GF mice have raised plasma serotonin levels which had negative mood stabilizing effects [4,5]. Additionally, it was observed that 50% of patients with Irritable Bowel syndrome were also diagnosed with clinical depression; the underlying adverse mechanism explained by the diminished density of commensal microbiota and increased harmful bacteria. Similarly, mice exposed to chronic social defeat and overcrowding had increased depression, anxiety, and acute colitis. The data of this report revealed the cause to be remodeling of gut microbiomes with decreased commensal bacteroides and increased clostridium and cytokines (IL-6, MCP-1) [6]. A greater density of detrimental microbiota led to hampered synthesis of Brain-derived neurotrophic factor (BDNF) from the hippocampus leading to depression and stressed behavior. This was alleviated by restoring normal levels of BDNF and administration of antidepressants [7]. Mice treated with antibiotics neomycin and bacitracin, combined with antifungal pimaricin, demonstrated altered microbiota and reduced anxiety and depression levels. Dysbiosis was induced in neonatal mice by Vancomycin which lead to continual negative behavioral changes in adult life [8]. Randomized controlled trials have exhibited the efficacy of probiotics in the treatment of depression. The HPA stress response can be reversed by a psychobiotic known as Bifidobacterium infantis having antidepressant effects. Lactobacillus helveticus R0052 and Bifidobacterium longum were associated with decreased stress and depression scores. Lactobacillus rhamnosus showed similar results in a separate report. In another trial, patients diagnosed with major depressive disorder (MDD) were administered probiotics for a time period of eight weeks and later on showed positive outcomes on the Beck Depression Inventory scores [9].","The cause of depression was revealed to be remodeling of gut microbiomes with decreased commensal bacteroides and increased clostridium and cytokines (IL-6, MCP-1) [6]."
"Bottoms up: the role of gut microbiota in brain health.","https://scispace.com/paper/bottoms-up-the-role-of-gut-microbiota-in-brain-health-2c2z4seb6h","2019","Journal Article","Environmental Microbiology","Nina Radisavljevic
Mihai Cirstea
B. B. Finlay","10.1111/1462-2920.14506","","The gut microbiota affects many aspects of human health, and research, especially over the past decade, is demonstrating that the brain is no exception. This review summarizes existing human observational studies of the microbiota in brain health and neurological conditions at all ages, as well as animal studies that are advancing the field beyond correlation and into causality. Potential mechanisms by which the brain and the gut microbiota are connected are explored, including inflammation, bacterially-produced metabolites and neurotransmitters and specific roles for individual microbes. Finally, important challenges and potential mitigation strategies are discussed, as well as ways in which some of these same challenges can be harnessed to advance our understanding of this complex, exciting and rapidly evolving field.","This review summarizes existing human observational studies of the microbiota in brain health and neurological conditions at all ages, as well as animal studies that are advancing the field beyond correlation and into causality."
"Multi-omic analysis of host-microbial interactions central to the gut-brain axis.","https://scispace.com/paper/multi-omic-analysis-of-host-microbial-interactions-central-2n442lzc","2022","Journal Article","Molecular omics","Joshua B. Simpson
Matthew R. Redinbo","10.1039/d2mo00205a","","The gut microbiota impact numerous aspects of human physiology, including the central nervous system (CNS). Emerging work is now focusing on the microbial factors underlying the bi-directional communication network linking host and microbial systems within the gastrointestinal tract to the CNS, the ""gut-brain axis"". Neurotransmitters are key coordinators of this network, and their dysregulation has been linked to numerous neurological disease states. As the bioavailability of neurotransmitters is modified by gut microbes, it is critical to unravel the influence of the microbiota on neurotransmitters in the context of the gut-brain axis. Here we review foundational studies that defined molecular relationships between the microbiota, neurotransmitters, and the gut-brain axis. We examine links between the gut microbiome, behavior, and neurological diseases, as well as microbial influences on neurotransmitter bioavailability and physiology. Finally, we review multi-omics technologies uniquely applicable to this area, including high-throughput genetics, modern metabolomics, structure-guided metagenomics, targeted proteomics, and chemogenetics. Interdisciplinary studies will continue to drive the discovery of molecular mechanisms linking the gut microbiota to clinical manifestations of neurobiology.","This work examines links between the gut microbiome, behavior, and neurological diseases, as well as microbial influences on neurotransmitter bioavailability and physiology, and multi-omics technologies uniquely applicable to this area."
"Effects of gut microbiota on brain and behavior","https://scispace.com/paper/effects-of-gut-microbiota-on-brain-and-behavior-3sw9qyg6vbfy","","","","QIU Yanguang
SHI Lanchun
SUN Fang
WANG Jiangyan","10.13488/j.smhx.20140425","","The influence of the composition of gut microbiota on normal physiology and diseases has been becoming major research interests in recent years. The gut microbiota has significantly influenced all aspects of physiology, including gut-brain communication, brain function and even behavior through the gut-brain axis. Studies on the germ-free animals, animals infected with pathogenic bacteria and those exposed to probiotic agents or antibiotics suggest a role of the gut microbiota in modulating anxiety and depress-like behavior. Most of the studies have suggested that modulation of the gut microbiota may be a strategy for developing novel therapeutics for complex disorders of central nervous system.","Research suggests gut microbiota influences gut-brain communication, brain function, and behavior through the gut-brain axis, with modulation of gut microbiota potentially serving as a novel therapeutic strategy for complex central nervous system disorders."
"Integration of Microbiota-Gut-Brain Axis: Significance of Autonomic Neural Influence","https://scispace.com/paper/integration-of-microbiota-gut-brain-axis-significance-of-ynavk2ya24bf","","","","Gopal Krushna Pal","10.5530/ijcep.2021.8.1.1","","The Gut-brain Axis (GBA) is the bidirectional communication between the brain and the enteric nervous system of the gut, linking emotional and cognitive centers of the brain with peripheral intestinal functions. Gut microbiota profoundly influences these interactions. The interaction between microbiota and GBA is made bidirectional by signalling from gut-microbiota to brain and from brain to gut-microbiota through neural, endocrine, immune, and humoral communications. Hence, this bidirectional relationship between gut and the brain is more precisely called as microbiota-gut-brain axis (microbiota-GBA).[1] Microbiota-GBA is closely associated with many functions and dysfunctions in health and diseases in human beings. However, most of the data on GBA have been acquired using germ-free animal models, probiotics, antibiotics, and infection studies in experimental models. In clinical medicine, data on functions of microbiota- GBA are derived mainly from the association of dysbiosis with central nervous disorders, especially in autism and anxiety-depressive behaviours and from functional gastrointestinal disorders. Especially, irritable bowel syndrome is considered as a prototype of the disruption of this complex relationship of microbiota-GBA.[2] Read more...","The microbiota-gut-brain axis is a bidirectional communication network between the brain, gut, and microbiota, influencing emotional, cognitive, and intestinal functions, with dysbiosis linked to various health and disease conditions, including autism, anxiety, and irritable bowel syndrome."
"Microbiota–Gut–Brain Axis in Neurodevelopmental Disorders","https://scispace.com/paper/microbiota-gut-brain-axis-in-neurodevelopmental-disorders-3gkhscva7d","2024","Book Chapter","","Gulistan Agirman
Elaine Y. Hsiao","10.1016/b978-0-323-99971-7.00020-5","","Recent research into the complex interrelationship between the gastrointestinal and central nervous systems has led to an increased appreciation of the importance of commensal gut microbes to normal gut function and neurobehavioral health. Epidemiological and clinical studies indicate co-morbid gut dysfunction in many individuals with psychiatric or neurodevelopmental disorders. Moreover, animal model studies present promising evidence that microbe-based treatments may alleviate symptoms of disease. Autism spectrum disorder is of particular interest as a highly prevalent neurodevelopmental disorder in which a significant subset of patients present with gastrointestinal problems and in which microbial dysbiosis has been highlighted as a potential contributing factor to gastrointestinal and neuropathological abnormalities. Preclinical studies investigating probiotic treatments for gastrointestinal, neurobiological, and behavioral deficits suggest that a richer understanding of the role of gut microbes in neurodevelopmental disorders may lead to effective new treatments. ","Microbiota–Gut–Brain Axis in Neurodevelopmental Disorders TLDR: Gut microbes play a significant role in neurodevelopmental disorders, including autism spectrum disorder. Dysbiosis and gut dysfunction are common in these disorders, and microbial-based treatments have shown promise in alleviating symptoms."
"Microbiomes, the brain, and behaviour","https://scispace.com/paper/microbiomes-the-brain-and-behaviour-2212m67y","2022","Book Chapter","","T.P. Boike","10.1093/actrade/9780198870852.003.0004","","Abstract This chapter explores the patterns and processes underlying microbiome impacts on brain function and the behaviour of animals, including humans. Various lines of evidence indicate that the presence and composition of the gut microbiome can influence learning, memory, and the emotional state of animals. These effects may be mediated by compounds released from microorganisms that enter the bloodstream and are transported to the brain, or by direct effects on nerve cells in the gut. Research on laboratory mice and fruit flies implicates perturbation of the microbiome in the onset and severity of several neurological disorders, notably autism and Alzheimer’s disease. ","In this paper , the patterns and processes underlying microbiome impacts on brain function and the behavior of animals, including humans, have been explored, and it has been shown that the presence and composition of the gut microbiome can influence learning, memory, and the emotional state of animals."
"The modulatory role of gut microbiota on host behavior: exploring the interaction between the brain-gut axis and the neuroendocrine system","https://scispace.com/paper/the-modulatory-role-of-gut-microbiota-on-host-behavior-u8ei0tk7dran","2024","Repository","","Temitope Awe
Ayoola S. Fasawe
Caleb Sawe
Adedayo Emmanuel Ogunware
Abdullahi Temitope Jamiu
Merrill J. Allen","10.60692/hhb50-qpz05","","The brain-gut axis refers to the communication between the central nervous system and the gastrointestinal tract, with the gut microbiome playing a crucial role. While our understanding of the interaction between the gut microbiome and the host's physiology is still in its nascent stage, evidence suggests that the gut microbiota can indeed modulate host behavior. Understanding the specific mechanisms by which the gut microbiota community modulates the host's behavior remains the focus of present and future neuro-gastroenterology studies. This paper reviews several pieces of evidence from the literature on the impact of gut microbiota on host behavior across animal taxa. We explore the different pathways through which this modulation occurs, with the aim of deepening our understanding of the fascinating relationship between the gut microbiome and the central nervous system. ",""
"The modulatory role of gut microbiota on host behavior: exploring the interaction between the brain-gut axis and the neuroendocrine system","https://scispace.com/paper/the-modulatory-role-of-gut-microbiota-on-host-behavior-ac9zdblgljzx","2024","Repository","","Temitope Awe
Ayoola S. Fasawe
Caleb Sawe
Adedayo Emmanuel Ogunware
Abdullahi Temitope Jamiu
Merrill J. Allen","10.60692/3kawg-j9291","","The brain-gut axis refers to the communication between the central nervous system and the gastrointestinal tract, with the gut microbiome playing a crucial role. While our understanding of the interaction between the gut microbiome and the host's physiology is still in its nascent stage, evidence suggests that the gut microbiota can indeed modulate host behavior. Understanding the specific mechanisms by which the gut microbiota community modulates the host's behavior remains the focus of present and future neuro-gastroenterology studies. This paper reviews several pieces of evidence from the literature on the impact of gut microbiota on host behavior across animal taxa. We explore the different pathways through which this modulation occurs, with the aim of deepening our understanding of the fascinating relationship between the gut microbiome and the central nervous system. ","This study reviews evidence on the gut microbiota's role in modulating host behavior, exploring the brain-gut axis and neuroendocrine system interactions, and identifying pathways through which the gut microbiome influences host behavior across animal taxa."
"Probiotics and the Microbiota-Gut-Brain Axis","https://scispace.com/paper/probiotics-and-the-microbiota-gut-brain-axis-1fsnduzc61fp","2024","Journal Article","","Aisan Asalipiseheh","10.5772/intechopen.1006494","","There is strong evidence that bidirectional interactions exist between the gastrointestinal tract, the enteric nervous system, central nervous system, and important relationship among probiotics, psychobiotics, and cognitive and behavioral processes, which include neural, metabolic, hormonal, and immunological signaling pathways. The latest researches approved that gut flora has a significant role in the interaction between the brain and gut. Moreover, gut microbes could play an important role in many psychiatric disorders and could be a potential therapeutic target. Thus, any changes in the complex and structure of gut flora could be correlated with several neurological disorders, such as depression, Parkinson’s disease, autism, Alzheimer’s disease, and stress. Microbiome-based therapies such as probiotics can be cautiously recommended for nervous psychiatric disorders. This review will focus on new and novel therapeutic treatment approaches on probiotics and the gut-brain axis of various neurological, psychiatric, and nervous psychiatric disorders. ","This review explores the bidirectional interactions between the gut microbiome, brain, and nervous system, highlighting the potential of probiotics as a therapeutic target for neurological disorders, including depression, Parkinson's disease, and Alzheimer's disease."
"The gut microbiome: Potential innovations for the understanding and treatment of psychopathology.","https://scispace.com/paper/the-gut-microbiome-potential-innovations-for-the-1litnnqyb8","2016","Journal Article","Canadian Psychology","Matilda E. Nowakowski
Randi E. McCabe
Karen Rowa
Joseph R. Pellizzari
Michael G. Surette
Paul Moayyedi
Rebecca Anglin","10.1037/CAP0000038","","Biological models for psychiatric disorders, such as anxiety and depression, emphasize the role of neurochemical changes in the development and maintenance of the disorders. The past decade, however, has shown increased evidence for the role of the microbiota-gut-brain axis in psychiatric disorders. Although much of this research is still in its preclinical stages and has largely been based on animal models, the findings in this area have potential implications for the conceptualization and treatment of psychiatric disorders. A number of excellent in-depth systematic and narrative reviews have been published on the topic of the microbiota-gutbrain axis and psychopathology recently (Collins, Surette & Bercik, 2012; De Angelis et al., 2015; Foster & Neufeld, 2013; Montiel-Castro et al., 2013; Wang & Kasper, 2014), many of which have been written by our research group at McMaster University. However, one of the limitations of these reviews is that they are published in basic science journals and tend to provide a very in-depth, detailed, and technical review of the basic science literature as it relates to the microbiota-gut-brain axis with limited focus on clinical implications. Therefore, the goal of the current article is to increase the visibility and accessibility of this research by providing an introduction to the topic with a strong focus on theoretical and clinical implications. Moreover, this article brings together ideas on the topic from a multidisciplinary team, including clinical psychologists, psychiatrists, gastroenterologists, and primary researchers, which highlights an interdisciplinary perspective on the topic with ideas for future research.The Gut MicrobiomeThe human body consists of a number of microbial environments that are predominantly made up of bacteria but also includes archaea, fungi, protists, and viruses. The intestinal or gut microbiome is the largest with approximately 100 trillion bacteria, most of which are located in the distal gut (Gill et al., 2006; Qin et al., 2010). The gut microbiome consists of over 1,000 distinct bacterial species (Qin et al., 2010) and its genetic material outnumbers human DNA by 10-fold. Although a core microbiome is shared by all humans, there is variability and fluctuation in the microbiota throughout the life span. This variability and fluctuation is influenced by factors such as diet, stress, infections, and antibiotic use (Cryan & O'Mahony, 2011; Forsythe, Sudo, Dinan, Taylor, & Bienenstock, 2010; Turnbaugh, Ridaura, Faith, Rey, Knight, & Gordon, 2009; Wu & Hui, 2011). The gut microbiome changes rapidly during the first 2 years of life and is influenced by a number of factors including genetics, method of birth delivery, maternal characteristics, nutrition, infections, use of antibiotics, and stress (Collado et al., 2010; Dominguez-Bello et al., 2010; Harmsen et al., 2000; Palmer et al., 2007; Penders et al., 2006).The Microbiota-Gut-Brain AxisThe microbiota-gut-brain axis is defined by the bidirectional communication between the digestive system and the central nervous system. The microbiota-gut-brain axis involves the central nervous system, the autonomic nervous system, and the enteric nervous system. The enteric nervous system consists of approximately 100 million neurons that line the gastrointestinal tract and is often referred to as the ""second brain"" because it can function autonomously (Pocock & Richards, 2006). Early research focused on the role of the gut-brain axis in digestion, metabolism, and immune functioning (Konturek, Konturek, Pawlik, & Brzozowski, 2004; Tache, Vale, Rivier, & Brown, 1980), with a strong focus on the role of the central nervous system in regulating these functions (i.e., a top-down model). More recently, there is growing appreciation for the bidirectional communication between the central nervous and digestive systems. The gut is not only influenced by the brain, but also influences the brain. …","An introduction to the microbiota-gut-brain axis and psychopathology with a strong focus on theoretical and clinical implications is provided by a multidisciplinary team, including clinical psychologists, psychiatrists, gastroenterologists, and primary researchers."
"Elucidating the Role of Gut-Brain-Axis in Neuropsychiatric and Neurological Disorders","https://scispace.com/paper/elucidating-the-role-of-gut-brain-axis-in-neuropsychiatric-2tcbiq7rps","2023","Book Chapter","","B. Lalnundika
Saqib Hassan
R. Prathiviraj
Hari Krishna Kumar
Sabreena Qadri
George Seghal Kiran
Pallaval Veera Bramhachari
Joseph Selvin","10.1007/978-981-99-5114-7_2","","The gut-brain axis connects the enteric and central nervous systems in a bidirectional communication network. This involves an anatomical network and endocrine, humoral, metabolic, and immunological communication pathways. The gut and the brain are linked by the autonomic nervous system, the hypothalamic-pituitary-adrenal (HPA) axis, and nerves in the gastrointestinal tract, allowing the brain to influence intestinal activities, such as the activity of functional immune effector cells and the gut to influence mood, cognition, and mental health. Gut microorganisms may alter neurological development, modulate neurotransmission, and affect behavior, contributing to the pathogenesis and/or progression of numerous neurodevelopmental, neuropsychiatric, and neurological illnesses. In this chapter, we provide an overview of recent data on the role of the microbiota-gut-brain axis in the pathophysiology of neuropsychiatric and neurological disorders, including depression, anxiety, schizophrenia, autism spectrum disorders (ASDs), Parkinson’s disease, etc. We also discuss the role of prebiotics and probiotics in modulating the gut microbiome to benefit the host. ","The gut-brain axis plays a significant role in neuropsychiatric and neurological disorders, influencing mood, cognition, and mental health. The gut microbiome can alter neurological development, modulate neurotransmission, and affect behavior."
"The Interaction of Gut Microbiota-brain Axis in Relation to Human Health with the Use of Animal Models","https://scispace.com/paper/the-interaction-of-gut-microbiota-brain-axis-in-relation-to-qmjyc1ln","2022","Book Chapter","","","10.5772/intechopen.105866","https://scispace.com/pdf/the-interaction-of-gut-microbiota-brain-axis-in-relation-to-qmjyc1ln.pdf","The human gastrointestinal tract harbors an extremely complex and dynamic microbial community, including archaea, bacteria, viruses and eukaryota. This gut microbiota usually works with the host to promote health but can sometimes initiate or promote disease. Dysbiosis relationship in gut health indicating the role gut microbiota in promoting the development and progression of brain health. The human gut microbiota is a complex and dynamics microbial community that plays an important role in protecting the host against pathogenic microbes, modulating immunity and regulating metabolic processes. The insights can be elucidated with help of latest omics technology and animal model studies. ","The human gastrointestinal tract harbors an extremely complex and dynamic microbial community, including archaea, bacteria, viruses and eukaryota as mentioned in this paper , which usually works with the host to promote health but can sometimes initiate or promote disease."
"P75 | microbiota-gut-brain axis in an autism spectrum disorder animal model","https://scispace.com/paper/p75-microbiota-gut-brain-axis-in-an-autism-spectrum-disorder-js5mlzbsh8vv","2025","Journal Article","European Journal of Histochemistry","","10.4081/ejh.2025.4400","","Autism spectrum disorder (ASD) primarily affects the brain, but it can also promote gastrointestinal damage and gut microbiota alterations (leaky gut). There is increasing evidence that supports the interaction between gut microbiota and brain development and function, contributing to define the concept of the “microbiota-gutbrain axis”1-3. The absence of gut microbiota in germ-free rodents is associated with structural alterations of tight junctions (TJs) in the blood-brain barrier, characterized by decreased expression of TJ proteins. Alterations in the TJs also result in increased permeability compared to mice with healthy microbiota4-6. This study aimed to evaluate the morphology of the intestinal barrier and the mechanisms contributing to leaky gut in BTBR T+Itpr3tf/J mice, an animal model of ASD, treated orally with 10 mg/kg/day of melatonin (MLT) for 16 weeks. MLT is found in various fruits and vegetables at different concentrations, and its presence alongside other polyphenols may contribute to improved global health7. Together with morphological analyses, we evaluated the expression of TJ proteins in the small intestine using immunohistochemistry. Morphological analysis showed that the mucosal tunica of BTBR mice presented longer intestinal villi, which altered intestinal permeability and microbiota composition. MLT significantly reduced the villi length in BTBR mice and appeared to modulate TJs expression, potentially decreasing leaky gut. These findings suggest an involvement of the microbiota-gutbrain axis in ASD and support a simil-therapeutic potential of MLT in limiting ASD symptoms through its multitasking properties8,9. ","This study investigates the microbiota-gut-brain axis in an autism spectrum disorder animal model, finding that melatonin reduces intestinal villi length and modulates tight junction expression, potentially decreasing leaky gut and ASD symptoms."
"Brain Neurotransmitter Modulation by Gut Microbiota in Anxiety and Depression","https://scispace.com/paper/brain-neurotransmitter-modulation-by-gut-microbiota-in-3mo6petblg","2021","Journal Article","Frontiers in Cell and Developmental Biology","Fei Huang
Xiaojun Wu","10.3389/FCELL.2021.649103","https://scispace.com/pdf/brain-neurotransmitter-modulation-by-gut-microbiota-in-3mo6petblg.pdf","Anxiety and depression are highly prevalent mental illnesses worldwide and have long been thought to be closely associated to neurotransmitter modulation. There is growing evidence indicating that changes in the composition of the gut microbiota are related to mental health including anxiety and depression. In this review, we focus on combining the intestinal microbiota with serotonergic, dopaminergic, and noradrenergic neurotransmission in brain, with special emphasis on the anxiety- and depression-like behaviors in stress-related rodent models. Therefore, we reviewed studies conducted on germ-free rodents, or in animals subjected to microbiota absence using antibiotics, as well as via the usage of probiotics. All the results strongly support that the brain neurotransmitter modulation by gut microbiota is indispensable to the physiopathology of anxiety and depression. However, a lot of work is needed to determine how gut microbiota mediated neurotransmission in human brain has any physiological significance and, if any, how it can be used in therapy. Overall, the gut microbiota provides a novel way to alter neurotransmitter modulation in the brain and treat gut-brain axis diseases, such as anxiety and depression.","In this article, the authors focus on combining the intestinal microbiota with serotonergic, dopaminergic, and noradrenergic neurotransmission in brain, with special emphasis on the anxiety-and depression-like behaviors in stress-related rodent models."
"Microbial endocrinology in the microbiome-gut-brain axis: how bacterial production and utilization of neurochemicals influence behavior.","https://scispace.com/paper/microbial-endocrinology-in-the-microbiome-gut-brain-axis-how-4qqhqk6n4v","2013","Journal Article","PLOS Pathogens","Mark Lyte","10.1371/JOURNAL.PPAT.1003726","https://scispace.com/pdf/microbial-endocrinology-in-the-microbiome-gut-brain-axis-how-4qqhqk6n4v.pdf","The ability of bacterial pathogens to influence behavior has been recognized for decades, most notably bacteria that directly invade the nervous system. However, increasing evidence is mounting that microorganisms may directly interact with elements of the host's neurophysiological system in a noninvasive manner that ultimately results in modification of host behavior. This ability of microorganisms contained within the microbiome to influence behavior through a noninfectious and possibly non-immune-mediated route may be due to their ability to produce and recognize neurochemicals that are exactly analogous in structure to those produced by the host nervous system. This form of interkingdom signaling, which is based on bidirectional neurochemical interactions between the host's neurophysiological system and the microbiome, was introduced two decades ago and has been termed microbial endocrinology [1]. Many of the neuroendocrine hormone biosynthetic pathways that are more commonly associated with eukaryotic cells are found in prokaryotic cells, and the acquisition of such neurochemical-based synthesis pathways by eukaryotic systems is believed to be due to lateral gene transfer from bacteria. Approaching the microbiome from a microbial endocrinology-based vantage point may provide an understanding of the specific pathways by which microorganisms may influence behavior and thereby lead to new approaches to the treatment of specific mental illness based on modulation of the microbiome-gut-brain axis.","approaching the microbiome from a microbial endocrinology-based vantage point may provide an understanding of the specific pathways by which microorganisms may influence behavior and thereby lead to new approaches to the treatment of specific mental illness based on modulation of the microbiome-gut-brain axis."
